dataset,noise_rate,seed,rem_thresh,rel_thresh,gain
PubMed,0.1,2,0.8,0.6,0.009999990463256836
PubMed,0.1,2,0.8,0.7,0.0009999871253967285
PubMed,0.1,2,0.8,0.8,-0.009999990463256836
PubMed,0.1,2,0.8,0.9,-0.012000024318695068
PubMed,0.1,2,0.8,1.0,-0.012000024318695068
PubMed,0.1,2,0.9,0.0,0.015999972820281982
PubMed,0.1,2,0.9,0.1,0.015999972820281982
PubMed,0.1,2,0.9,0.2,0.014999985694885254
PubMed,0.1,2,0.9,0.3,0.018999993801116943
PubMed,0.1,2,0.9,0.4,0.013000011444091797
PubMed,0.1,2,0.9,0.5,0.013000011444091797
PubMed,0.1,2,0.9,0.6,0.009999990463256836
PubMed,0.1,2,0.9,0.7,0.0009999871253967285
PubMed,0.1,2,0.9,0.8,-0.009999990463256836
PubMed,0.1,2,0.9,0.9,-0.012000024318695068
PubMed,0.1,2,0.9,1.0,-0.012000024318695068
PubMed,0.1,2,1.0,0.0,0.015999972820281982
PubMed,0.1,2,1.0,0.1,0.015999972820281982
PubMed,0.1,2,1.0,0.2,0.014999985694885254
PubMed,0.1,2,1.0,0.3,0.018999993801116943
PubMed,0.1,2,1.0,0.4,0.013000011444091797
PubMed,0.1,2,1.0,0.5,0.013000011444091797
PubMed,0.1,2,1.0,0.6,0.009999990463256836
PubMed,0.1,2,1.0,0.7,0.0009999871253967285
PubMed,0.1,2,1.0,0.8,-0.009999990463256836
PubMed,0.1,2,1.0,0.9,-0.012000024318695068
PubMed,0.1,2,1.0,1.0,-0.012000024318695068
PubMed,0.1,3,0.1,0.0,0.018000006675720215
PubMed,0.1,3,0.1,0.1,0.018000006675720215
PubMed,0.1,3,0.1,0.2,0.013000011444091797
PubMed,0.1,3,0.1,0.3,0.01100003719329834
PubMed,0.1,3,0.1,0.4,0.009000003337860107
PubMed,0.1,3,0.1,0.5,0.009000003337860107
PubMed,0.1,3,0.1,0.6,0.01100003719329834
PubMed,0.1,3,0.1,0.7,0.008000016212463379
PubMed,0.1,3,0.1,0.8,0.008000016212463379
PubMed,0.1,3,0.1,0.9,0.004999995231628418
PubMed,0.1,3,0.1,1.0,0.003000020980834961
PubMed,0.1,3,0.2,0.0,0.018000006675720215
PubMed,0.1,3,0.2,0.1,0.018000006675720215
PubMed,0.1,3,0.2,0.2,0.013000011444091797
PubMed,0.1,3,0.2,0.3,0.01100003719329834
PubMed,0.1,3,0.2,0.4,0.009000003337860107
PubMed,0.1,3,0.2,0.5,0.009000003337860107
PubMed,0.1,3,0.2,0.6,0.01100003719329834
PubMed,0.1,3,0.2,0.7,0.008000016212463379
PubMed,0.1,3,0.2,0.8,0.008000016212463379
PubMed,0.1,3,0.2,0.9,0.004999995231628418
PubMed,0.1,3,0.2,1.0,0.003000020980834961
PubMed,0.1,3,0.3,0.0,0.018000006675720215
PubMed,0.1,3,0.3,0.1,0.018000006675720215
PubMed,0.1,3,0.3,0.2,0.013000011444091797
PubMed,0.1,3,0.3,0.3,0.01100003719329834
PubMed,0.1,3,0.3,0.4,0.009000003337860107
PubMed,0.1,3,0.3,0.5,0.009000003337860107
PubMed,0.1,3,0.3,0.6,0.01100003719329834
PubMed,0.1,3,0.3,0.7,0.008000016212463379
PubMed,0.1,3,0.3,0.8,0.008000016212463379
PubMed,0.1,3,0.3,0.9,0.004999995231628418
PubMed,0.1,3,0.3,1.0,0.003000020980834961
PubMed,0.1,3,0.4,0.0,0.018000006675720215
PubMed,0.1,3,0.4,0.1,0.018000006675720215
PubMed,0.1,3,0.4,0.2,0.013000011444091797
PubMed,0.1,3,0.4,0.3,0.01100003719329834
PubMed,0.1,3,0.4,0.4,0.009000003337860107
PubMed,0.1,3,0.4,0.5,0.009000003337860107
PubMed,0.1,3,0.4,0.6,0.01100003719329834
PubMed,0.1,3,0.4,0.7,0.008000016212463379
PubMed,0.1,3,0.4,0.8,0.008000016212463379
PubMed,0.1,3,0.4,0.9,0.004999995231628418
PubMed,0.1,3,0.4,1.0,0.003000020980834961
PubMed,0.1,3,0.5,0.0,0.018000006675720215
PubMed,0.1,3,0.5,0.1,0.018000006675720215
PubMed,0.1,3,0.5,0.2,0.013000011444091797
PubMed,0.1,3,0.5,0.3,0.01100003719329834
PubMed,0.1,3,0.5,0.4,0.009000003337860107
PubMed,0.1,3,0.5,0.5,0.009000003337860107
PubMed,0.1,3,0.5,0.6,0.01100003719329834
PubMed,0.1,3,0.5,0.7,0.008000016212463379
PubMed,0.1,3,0.5,0.8,0.008000016212463379
PubMed,0.1,3,0.5,0.9,0.004999995231628418
PubMed,0.1,3,0.5,1.0,0.003000020980834961
PubMed,0.1,3,0.6,0.0,0.018000006675720215
PubMed,0.1,3,0.6,0.1,0.018000006675720215
PubMed,0.1,3,0.6,0.2,0.013000011444091797
PubMed,0.1,3,0.6,0.3,0.01100003719329834
PubMed,0.1,3,0.6,0.4,0.009000003337860107
PubMed,0.1,3,0.6,0.5,0.009000003337860107
PubMed,0.1,3,0.6,0.6,0.01100003719329834
PubMed,0.1,3,0.6,0.7,0.008000016212463379
PubMed,0.1,3,0.6,0.8,0.008000016212463379
PubMed,0.1,3,0.6,0.9,0.004999995231628418
PubMed,0.1,3,0.6,1.0,0.003000020980834961
PubMed,0.1,3,0.7,0.0,0.018000006675720215
PubMed,0.1,3,0.7,0.1,0.018000006675720215
PubMed,0.1,3,0.7,0.2,0.013000011444091797
PubMed,0.1,3,0.7,0.3,0.01100003719329834
PubMed,0.1,3,0.7,0.4,0.009000003337860107
PubMed,0.1,3,0.7,0.5,0.009000003337860107
PubMed,0.1,3,0.7,0.6,0.01100003719329834
PubMed,0.1,3,0.7,0.7,0.008000016212463379
PubMed,0.1,3,0.7,0.8,0.008000016212463379
PubMed,0.1,3,0.7,0.9,0.004999995231628418
PubMed,0.1,3,0.7,1.0,0.003000020980834961
PubMed,0.1,3,0.8,0.0,0.018000006675720215
PubMed,0.1,3,0.8,0.1,0.018000006675720215
PubMed,0.1,3,0.8,0.2,0.013000011444091797
PubMed,0.1,3,0.8,0.3,0.01100003719329834
PubMed,0.1,3,0.8,0.4,0.009000003337860107
PubMed,0.1,3,0.8,0.5,0.009000003337860107
PubMed,0.1,3,0.8,0.6,0.01100003719329834
PubMed,0.1,3,0.8,0.7,0.008000016212463379
PubMed,0.1,3,0.8,0.8,0.008000016212463379
PubMed,0.1,3,0.8,0.9,0.004999995231628418
PubMed,0.1,3,0.8,1.0,0.003000020980834961
PubMed,0.1,3,0.9,0.0,0.018000006675720215
PubMed,0.1,3,0.9,0.1,0.018000006675720215
