dataset,noise_rate,seed,p_grd,dexp,gain
PubMed,0.1,3,0.0,2,-0.02399998903274536
PubMed,0.1,3,0.0,3,-0.0009999871253967285
PubMed,0.1,3,0.0,4,0.021000027656555176
PubMed,0.1,3,0.0,5,0.02799999713897705
PubMed,0.1,3,0.0,6,0.023000001907348633
PubMed,0.1,3,0.0,7,0.019999980926513672
PubMed,0.1,3,0.0,8,0.0
PubMed,0.1,3,0.0,9,0.003000020980834961
PubMed,0.1,3,0.0,10,0.013999998569488525
PubMed,0.1,3,0.1,0,0.03299999237060547
PubMed,0.1,3,0.1,1,0.04000002145767212
PubMed,0.1,3,0.1,2,-0.02899998426437378
PubMed,0.1,3,0.1,3,-0.022000014781951904
PubMed,0.1,3,0.1,4,-0.03200000524520874
PubMed,0.1,3,0.1,5,0.008000016212463379
PubMed,0.1,3,0.1,6,0.00700002908706665
PubMed,0.1,3,0.1,7,-0.013000011444091797
PubMed,0.1,3,0.1,8,0.0009999871253967285
PubMed,0.1,3,0.1,9,-0.003000020980834961
PubMed,0.1,3,0.1,10,-0.0009999871253967285
PubMed,0.1,3,0.2,0,-0.013999998569488525
PubMed,0.1,3,0.2,1,-0.02399998903274536
PubMed,0.1,3,0.2,2,-0.019999980926513672
PubMed,0.1,3,0.2,3,-0.011999964714050293
PubMed,0.1,3,0.2,4,0.0
PubMed,0.1,3,0.2,5,-0.004999995231628418
PubMed,0.1,3,0.2,6,0.012000024318695068
PubMed,0.1,3,0.2,7,0.018000006675720215
PubMed,0.1,3,0.2,8,0.02799999713897705
PubMed,0.1,3,0.2,9,0.02799999713897705
PubMed,0.1,3,0.2,10,-0.004999995231628418
PubMed,0.1,3,0.3,0,0.0350000262260437
PubMed,0.1,3,0.3,1,0.01100003719329834
PubMed,0.1,3,0.3,2,0.013000011444091797
PubMed,0.1,3,0.3,3,0.004999995231628418
PubMed,0.1,3,0.3,4,0.014999985694885254
PubMed,0.1,3,0.3,5,0.02399998903274536
PubMed,0.1,3,0.3,6,-0.008000016212463379
PubMed,0.1,3,0.3,7,-0.004999995231628418
PubMed,0.1,3,0.3,8,0.0
PubMed,0.1,3,0.3,9,0.0
PubMed,0.1,3,0.3,10,0.0
PubMed,0.1,3,0.4,0,0.008000016212463379
PubMed,0.1,3,0.4,1,-0.008000016212463379
PubMed,0.1,3,0.4,2,-0.009000003337860107
PubMed,0.1,3,0.4,3,0.014999985694885254
PubMed,0.1,3,0.4,4,0.02799999713897705
PubMed,0.1,3,0.4,5,-0.004999995231628418
PubMed,0.1,3,0.4,6,0.0
PubMed,0.1,3,0.4,7,0.0
PubMed,0.1,3,0.4,8,0.0
PubMed,0.1,3,0.4,9,0.0
PubMed,0.1,3,0.4,10,0.0
PubMed,0.1,3,0.5,0,0.030000030994415283
PubMed,0.1,3,0.5,1,-0.013000011444091797
PubMed,0.1,3,0.5,2,0.009000003337860107
PubMed,0.1,3,0.5,3,0.03100001811981201
PubMed,0.1,3,0.5,4,-0.004999995231628418
PubMed,0.1,3,0.5,5,0.0
PubMed,0.1,3,0.5,6,0.0
PubMed,0.1,3,0.5,7,0.0
PubMed,0.1,3,0.5,8,0.0
PubMed,0.1,3,0.5,9,0.0
PubMed,0.1,3,0.5,10,0.0
PubMed,0.1,3,0.6,0,0.025000035762786865
PubMed,0.1,3,0.6,1,0.0020000338554382324
PubMed,0.1,3,0.6,2,0.018000006675720215
PubMed,0.1,3,0.6,3,0.0059999823570251465
PubMed,0.1,3,0.6,4,0.0
PubMed,0.1,3,0.6,5,0.0
PubMed,0.1,3,0.6,6,0.0
PubMed,0.1,3,0.6,7,0.0
PubMed,0.1,3,0.6,8,0.0
PubMed,0.1,3,0.6,9,0.0
PubMed,0.1,3,0.6,10,0.0
PubMed,0.1,3,0.7,0,0.02399998903274536
PubMed,0.1,3,0.7,1,0.027000010013580322
PubMed,0.1,3,0.7,2,0.012000024318695068
PubMed,0.1,3,0.7,3,-0.004999995231628418
PubMed,0.1,3,0.7,4,0.0
PubMed,0.1,3,0.7,5,0.0
PubMed,0.1,3,0.7,6,0.0
PubMed,0.1,3,0.7,7,0.0
PubMed,0.1,3,0.7,8,0.0
PubMed,0.1,3,0.7,9,0.0
PubMed,0.1,3,0.7,10,0.0
PubMed,0.1,3,0.8,0,0.013000011444091797
PubMed,0.1,3,0.8,1,0.02899998426437378
PubMed,0.1,3,0.8,2,0.0
PubMed,0.1,3,0.8,3,0.0
PubMed,0.1,3,0.8,4,0.0
PubMed,0.1,3,0.8,5,0.0
PubMed,0.1,3,0.8,6,0.0
PubMed,0.1,3,0.8,7,0.0
PubMed,0.1,3,0.8,8,0.0
PubMed,0.1,3,0.8,9,0.0
PubMed,0.1,3,0.8,10,0.0
PubMed,0.1,3,0.9,0,0.025000035762786865
PubMed,0.1,3,0.9,1,0.023000001907348633
PubMed,0.1,3,0.9,2,-0.004999995231628418
PubMed,0.1,3,0.9,3,0.0
PubMed,0.1,3,0.9,4,0.0
PubMed,0.1,3,0.9,5,0.0
PubMed,0.1,3,0.9,6,0.0
PubMed,0.1,3,0.9,7,0.0
PubMed,0.1,3,0.9,8,0.0
PubMed,0.1,3,0.9,9,0.0
PubMed,0.1,3,0.9,10,0.0
PubMed,0.1,4,0.0,0,-0.018999993801116943
PubMed,0.1,4,0.0,1,-0.030000030994415283
PubMed,0.1,4,0.0,2,-0.10199999809265137
PubMed,0.1,4,0.0,3,-0.014999985694885254
PubMed,0.1,4,0.0,4,-0.025000035762786865
PubMed,0.1,4,0.0,5,-0.050000011920928955
PubMed,0.1,4,0.0,6,-0.046000003814697266
PubMed,0.1,4,0.0,7,-0.18300002813339233
PubMed,0.1,4,0.0,8,-0.053000032901763916
PubMed,0.1,4,0.0,9,-0.12200003862380981
PubMed,0.1,4,0.0,10,0.004999995231628418
PubMed,0.1,4,0.1,0,-0.04400002956390381
PubMed,0.1,4,0.1,1,-0.019999980926513672
PubMed,0.1,4,0.1,2,0.0009999871253967285
PubMed,0.1,4,0.1,3,-0.027000010013580322
PubMed,0.1,4,0.1,4,-0.018999993801116943
PubMed,0.1,4,0.1,5,-0.0040000081062316895
PubMed,0.1,4,0.1,6,0.038999974727630615
PubMed,0.1,4,0.1,7,-0.008000016212463379
PubMed,0.1,4,0.1,8,-0.021000027656555176
PubMed,0.1,4,0.1,9,0.009000003337860107
PubMed,0.1,4,0.1,10,0.003000020980834961
PubMed,0.1,4,0.2,0,0.004999995231628418
PubMed,0.1,4,0.2,1,-0.027000010013580322
PubMed,0.1,4,0.2,2,-0.023000001907348633
PubMed,0.1,4,0.2,3,-0.013999998569488525
PubMed,0.1,4,0.2,4,-0.004999995231628418
PubMed,0.1,4,0.2,5,-0.017000019550323486
PubMed,0.1,4,0.2,6,0.026000022888183594
PubMed,0.1,4,0.2,7,0.03299999237060547
PubMed,0.1,4,0.2,8,0.03100001811981201
PubMed,0.1,4,0.2,9,0.0339999794960022
PubMed,0.1,4,0.2,10,0.046000003814697266
PubMed,0.1,4,0.3,0,-0.018999993801116943
PubMed,0.1,4,0.3,1,-0.03100001811981201
PubMed,0.1,4,0.3,2,-0.013999998569488525
PubMed,0.1,4,0.3,3,-0.008000016212463379
PubMed,0.1,4,0.3,4,-0.0059999823570251465
PubMed,0.1,4,0.3,5,0.029999971389770508
PubMed,0.1,4,0.3,6,0.03700000047683716
PubMed,0.1,4,0.3,7,0.0
PubMed,0.1,4,0.3,8,0.0
PubMed,0.1,4,0.3,9,0.0
PubMed,0.1,4,0.3,10,0.0
PubMed,0.1,4,0.4,0,0.02399998903274536
PubMed,0.1,4,0.4,1,-0.013999998569488525
PubMed,0.1,4,0.4,2,-0.009000003337860107
PubMed,0.1,4,0.4,3,0.0
PubMed,0.1,4,0.4,4,0.0339999794960022
PubMed,0.1,4,0.4,5,0.0
PubMed,0.1,4,0.4,6,0.0
PubMed,0.1,4,0.4,7,0.0
PubMed,0.1,4,0.4,8,0.0
PubMed,0.1,4,0.4,9,0.0
PubMed,0.1,4,0.4,10,0.0
PubMed,0.1,4,0.5,0,0.009999990463256836
PubMed,0.1,4,0.5,1,-0.018000006675720215
PubMed,0.1,4,0.5,2,0.008000016212463379
