dataset,noise_rate,seed,strategy,k,gain
CiteSeer,0.1,9,p,15,-0.6110000014305115
CiteSeer,0.1,9,p,20,-0.6110000014305115
CiteSeer,0.1,9,p,30,-0.6110000014305115
CiteSeer,0.1,9,p,50,-0.6110000014305115
CiteSeer,0.1,9,p,75,-0.6110000014305115
CiteSeer,0.1,9,p,100,-0.45499999821186066
CiteSeer,0.1,9,u,0,0.01100003719329834
CiteSeer,0.2,0,s,2,0.06199997663497925
CiteSeer,0.2,0,s,5,0.006999969482421875
CiteSeer,0.2,0,s,10,-0.07100003957748413
CiteSeer,0.2,0,s,15,0.06099998950958252
CiteSeer,0.2,0,s,20,0.07099997997283936
CiteSeer,0.2,0,s,30,0.06899994611740112
CiteSeer,0.2,0,s,50,0.019999980926513672
CiteSeer,0.2,0,s,75,0.06499999761581421
CiteSeer,0.2,0,s,100,0.05899995565414429
CiteSeer,0.2,0,d,2,-0.1940000355243683
CiteSeer,0.2,0,d,5,-0.41700005531311035
CiteSeer,0.2,0,d,10,-0.6020000576972961
CiteSeer,0.2,0,d,15,-0.6020000576972961
CiteSeer,0.2,0,d,20,-0.6020000576972961
CiteSeer,0.2,0,d,30,-0.4200000464916229
CiteSeer,0.2,0,d,50,-0.4200000464916229
CiteSeer,0.2,0,d,75,-0.4200000464916229
CiteSeer,0.2,0,d,100,-0.4200000464916229
CiteSeer,0.2,0,p,2,-0.29100003838539124
CiteSeer,0.2,0,p,5,-0.37300004065036774
CiteSeer,0.2,0,p,10,-0.6020000576972961
CiteSeer,0.2,0,p,15,-0.4200000464916229
CiteSeer,0.2,0,p,20,-0.4200000464916229
CiteSeer,0.2,0,p,30,-0.4200000464916229
CiteSeer,0.2,0,p,50,-0.4200000464916229
CiteSeer,0.2,0,p,75,-0.4200000464916229
CiteSeer,0.2,0,p,100,-0.4200000464916229
CiteSeer,0.2,0,u,0,0.06000000238418579
CiteSeer,0.2,1,s,2,0.07200002670288086
CiteSeer,0.2,1,s,5,0.04500001668930054
CiteSeer,0.2,1,s,10,0.05900001525878906
CiteSeer,0.2,1,s,15,0.018999993801116943
CiteSeer,0.2,1,s,20,0.08600002527236938
CiteSeer,0.2,1,s,30,0.06499999761581421
CiteSeer,0.2,1,s,50,0.07600003480911255
CiteSeer,0.2,1,s,75,0.05699998140335083
CiteSeer,0.2,1,s,100,-0.06599998474121094
CiteSeer,0.2,1,d,2,-0.10499998927116394
CiteSeer,0.2,1,d,5,-0.41700001060962677
CiteSeer,0.2,1,d,10,-0.41700001060962677
CiteSeer,0.2,1,d,15,-0.41700001060962677
CiteSeer,0.2,1,d,20,-0.41700001060962677
CiteSeer,0.2,1,d,30,-0.41700001060962677
CiteSeer,0.2,1,d,50,-0.41700001060962677
CiteSeer,0.2,1,d,75,-0.41700001060962677
CiteSeer,0.2,1,d,100,-0.41700001060962677
CiteSeer,0.2,1,p,2,-0.21000000834465027
CiteSeer,0.2,1,p,5,-0.41700001060962677
CiteSeer,0.2,1,p,10,-0.41700001060962677
CiteSeer,0.2,1,p,15,-0.41700001060962677
CiteSeer,0.2,1,p,20,-0.41700001060962677
CiteSeer,0.2,1,p,30,-0.41700001060962677
CiteSeer,0.2,1,p,50,-0.41700001060962677
CiteSeer,0.2,1,p,75,-0.41700001060962677
CiteSeer,0.2,1,p,100,-0.41700001060962677
CiteSeer,0.2,1,u,0,0.10500001907348633
CiteSeer,0.2,2,s,2,0.06099998950958252
CiteSeer,0.2,2,s,5,0.03200000524520874
CiteSeer,0.2,2,s,10,0.0690000057220459
CiteSeer,0.2,2,s,15,0.06199997663497925
CiteSeer,0.2,2,s,20,-0.014999985694885254
CiteSeer,0.2,2,s,30,0.06099998950958252
CiteSeer,0.2,2,s,50,0.050000011920928955
CiteSeer,0.2,2,s,75,-0.02799999713897705
CiteSeer,0.2,2,s,100,0.010999977588653564
CiteSeer,0.2,2,d,2,-0.27800002694129944
CiteSeer,0.2,2,d,5,-0.3720000237226486
CiteSeer,0.2,2,d,10,-0.37300002574920654
CiteSeer,0.2,2,d,15,-0.37300002574920654
CiteSeer,0.2,2,d,20,-0.37300002574920654
CiteSeer,0.2,2,d,30,-0.37300002574920654
CiteSeer,0.2,2,d,50,-0.37300002574920654
CiteSeer,0.2,2,d,75,-0.37300002574920654
CiteSeer,0.2,2,d,100,-0.37300002574920654
CiteSeer,0.2,2,p,2,-0.20600000023841858
CiteSeer,0.2,2,p,5,-0.3720000237226486
CiteSeer,0.2,2,p,10,-0.37300002574920654
CiteSeer,0.2,2,p,15,-0.37300002574920654
CiteSeer,0.2,2,p,20,-0.37300002574920654
CiteSeer,0.2,2,p,30,-0.37300002574920654
CiteSeer,0.2,2,p,50,-0.37300002574920654
CiteSeer,0.2,2,p,75,-0.37300002574920654
CiteSeer,0.2,2,p,100,-0.37300002574920654
CiteSeer,0.2,2,u,0,0.02899998426437378
CiteSeer,0.2,3,s,2,-0.05699998140335083
CiteSeer,0.2,3,s,5,0.015999972820281982
CiteSeer,0.2,3,s,10,-0.0350000262260437
CiteSeer,0.2,3,s,15,0.018999993801116943
CiteSeer,0.2,3,s,20,0.011999964714050293
CiteSeer,0.2,3,s,30,-0.046999990940093994
CiteSeer,0.2,3,s,50,-0.00700002908706665
CiteSeer,0.2,3,s,75,-0.03799998760223389
CiteSeer,0.2,3,s,100,-0.013000011444091797
CiteSeer,0.2,3,d,2,-0.34700003266334534
CiteSeer,0.2,3,d,5,-0.47600002586841583
CiteSeer,0.2,3,d,10,-0.47600002586841583
CiteSeer,0.2,3,d,15,-0.47600002586841583
CiteSeer,0.2,3,d,20,-0.47600002586841583
CiteSeer,0.2,3,d,30,-0.47600002586841583
CiteSeer,0.2,3,d,50,-0.47600002586841583
CiteSeer,0.2,3,d,75,-0.47600002586841583
CiteSeer,0.2,3,d,100,-0.47600002586841583
CiteSeer,0.2,3,p,2,-0.445000022649765
CiteSeer,0.2,3,p,5,-0.47600002586841583
CiteSeer,0.2,3,p,10,-0.47600002586841583
CiteSeer,0.2,3,p,15,-0.47600002586841583
CiteSeer,0.2,3,p,20,-0.47600002586841583
CiteSeer,0.2,3,p,30,-0.47600002586841583
CiteSeer,0.2,3,p,50,-0.47600002586841583
CiteSeer,0.2,3,p,75,-0.47600002586841583
CiteSeer,0.2,3,p,100,-0.47600002586841583
CiteSeer,0.2,3,u,0,0.046999990940093994
CiteSeer,0.2,4,s,2,0.050000011920928955
CiteSeer,0.2,4,s,5,0.03700000047683716
CiteSeer,0.2,4,s,10,0.046000003814697266
CiteSeer,0.2,4,s,15,0.023000001907348633
CiteSeer,0.2,4,s,20,0.06499999761581421
CiteSeer,0.2,4,s,30,0.0559999942779541
CiteSeer,0.2,4,s,50,0.042999982833862305
CiteSeer,0.2,4,s,75,0.03600001335144043
CiteSeer,0.2,4,s,100,-0.027000010013580322
CiteSeer,0.2,4,d,2,-0.18200001120567322
CiteSeer,0.2,4,d,5,-0.3710000365972519
CiteSeer,0.2,4,d,10,-0.3720000386238098
CiteSeer,0.2,4,d,15,-0.3720000386238098
CiteSeer,0.2,4,d,20,-0.3720000386238098
CiteSeer,0.2,4,d,30,-0.3720000386238098
CiteSeer,0.2,4,d,50,-0.3720000386238098
CiteSeer,0.2,4,d,75,-0.3720000386238098
CiteSeer,0.2,4,d,100,-0.3720000386238098
CiteSeer,0.2,4,p,2,-0.23900002241134644
CiteSeer,0.2,4,p,5,-0.3720000386238098
CiteSeer,0.2,4,p,10,-0.3720000386238098
CiteSeer,0.2,4,p,15,-0.3720000386238098
CiteSeer,0.2,4,p,20,-0.3720000386238098
CiteSeer,0.2,4,p,30,-0.3720000386238098
CiteSeer,0.2,4,p,50,-0.3720000386238098
CiteSeer,0.2,4,p,75,-0.3720000386238098
CiteSeer,0.2,4,p,100,-0.3720000386238098
CiteSeer,0.2,4,u,0,0.04899996519088745
CiteSeer,0.2,5,s,2,0.058000028133392334
CiteSeer,0.2,5,s,5,0.054000020027160645
CiteSeer,0.2,5,s,10,0.0020000338554382324
CiteSeer,0.2,5,s,15,0.0480000376701355
CiteSeer,0.2,5,s,20,-0.04099994897842407
CiteSeer,0.2,5,s,30,0.028000056743621826
CiteSeer,0.2,5,s,50,0.006000041961669922
CiteSeer,0.2,5,s,75,0.016000032424926758
CiteSeer,0.2,5,s,100,-0.09099996089935303
CiteSeer,0.2,5,d,2,-0.22199997305870056
CiteSeer,0.2,5,d,5,-0.4749999940395355
CiteSeer,0.2,5,d,10,-0.5649999976158142
CiteSeer,0.2,5,d,15,-0.5649999976158142
CiteSeer,0.2,5,d,20,-0.5649999976158142
CiteSeer,0.2,5,d,30,-0.5649999976158142
CiteSeer,0.2,5,d,50,-0.5649999976158142
CiteSeer,0.2,5,d,75,-0.4049999862909317
CiteSeer,0.2,5,d,100,-0.4049999862909317
CiteSeer,0.2,5,p,2,-0.20499998331069946
CiteSeer,0.2,5,p,5,-0.2499999701976776
CiteSeer,0.2,5,p,10,-0.3839999884366989
CiteSeer,0.2,5,p,15,-0.5649999976158142
CiteSeer,0.2,5,p,20,-0.5649999976158142
CiteSeer,0.2,5,p,30,-0.5649999976158142
CiteSeer,0.2,5,p,50,-0.5649999976158142
CiteSeer,0.2,5,p,75,-0.5649999976158142
CiteSeer,0.2,5,p,100,-0.4049999862909317
CiteSeer,0.2,5,u,0,0.050000011920928955
CiteSeer,0.2,6,s,2,0.09799998998641968
CiteSeer,0.2,6,s,5,0.09700000286102295
CiteSeer,0.2,6,s,10,0.08499997854232788
CiteSeer,0.2,6,s,15,0.041999995708465576
CiteSeer,0.2,6,s,20,0.08099997043609619
CiteSeer,0.2,6,s,30,0.04599994421005249
CiteSeer,0.2,6,s,50,0.08799999952316284
CiteSeer,0.2,6,s,75,0.038999974727630615
CiteSeer,0.2,6,s,100,0.0899999737739563
CiteSeer,0.2,6,d,2,-0.49900005012750626
CiteSeer,0.2,6,d,5,-0.5020000487565994
CiteSeer,0.2,6,d,10,-0.5020000487565994
CiteSeer,0.2,6,d,15,-0.5020000487565994
CiteSeer,0.2,6,d,20,-0.5020000487565994
CiteSeer,0.2,6,d,30,-0.5020000487565994
CiteSeer,0.2,6,d,50,-0.5020000487565994
CiteSeer,0.2,6,d,75,-0.5020000487565994
CiteSeer,0.2,6,d,100,-0.5020000487565994
CiteSeer,0.2,6,p,2,-0.34000004827976227
CiteSeer,0.2,6,p,5,-0.5020000487565994
CiteSeer,0.2,6,p,10,-0.5020000487565994
CiteSeer,0.2,6,p,15,-0.5020000487565994
CiteSeer,0.2,6,p,20,-0.5020000487565994
CiteSeer,0.2,6,p,30,-0.5020000487565994
CiteSeer,0.2,6,p,50,-0.5020000487565994
CiteSeer,0.2,6,p,75,-0.5020000487565994
CiteSeer,0.2,6,p,100,-0.5020000487565994
CiteSeer,0.2,6,u,0,0.0989999771118164
CiteSeer,0.2,7,s,2,-0.03799998760223389
CiteSeer,0.2,7,s,5,0.04100000858306885
CiteSeer,0.2,7,s,10,0.008000016212463379
CiteSeer,0.2,7,s,15,0.027000010013580322
CiteSeer,0.2,7,s,20,-0.026999950408935547
CiteSeer,0.2,7,s,30,0.01900005340576172
CiteSeer,0.2,7,s,50,0.00700002908706665
CiteSeer,0.2,7,s,75,-0.023000001907348633
CiteSeer,0.2,7,s,100,0.04400002956390381
CiteSeer,0.2,7,d,2,-0.14499998092651367
CiteSeer,0.2,7,d,5,-0.3349999934434891
CiteSeer,0.2,7,d,10,-0.5370000004768372
CiteSeer,0.2,7,d,15,-0.5370000004768372
CiteSeer,0.2,7,d,20,-0.5370000004768372
CiteSeer,0.2,7,d,30,-0.5370000004768372
CiteSeer,0.2,7,d,50,-0.5370000004768372
CiteSeer,0.2,7,d,75,-0.5370000004768372
CiteSeer,0.2,7,d,100,-0.5370000004768372
CiteSeer,0.2,7,p,2,-0.10899996757507324
CiteSeer,0.2,7,p,5,-0.2709999978542328
CiteSeer,0.2,7,p,10,-0.35599999129772186
CiteSeer,0.2,7,p,15,-0.5370000004768372
CiteSeer,0.2,7,p,20,-0.5370000004768372
CiteSeer,0.2,7,p,30,-0.5370000004768372
CiteSeer,0.2,7,p,50,-0.5370000004768372
CiteSeer,0.2,7,p,75,-0.5370000004768372
CiteSeer,0.2,7,p,100,-0.5370000004768372
CiteSeer,0.2,7,u,0,-0.06099998950958252
CiteSeer,0.2,8,s,2,0.006999969482421875
CiteSeer,0.2,8,s,5,0.05399996042251587
CiteSeer,0.2,8,s,10,0.038999974727630615
CiteSeer,0.2,8,s,15,0.030999958515167236
CiteSeer,0.2,8,s,20,0.04799997806549072
CiteSeer,0.2,8,s,30,-0.013999998569488525
CiteSeer,0.2,8,s,50,0.02599996328353882
CiteSeer,0.2,8,s,75,0.01699995994567871
CiteSeer,0.2,8,s,100,-0.06200003623962402
CiteSeer,0.2,8,d,2,-0.16200003027915955
CiteSeer,0.2,8,d,5,-0.44700004160404205
CiteSeer,0.2,8,d,10,-0.4660000503063202
CiteSeer,0.2,8,d,15,-0.44700004160404205
CiteSeer,0.2,8,d,20,-0.6070000529289246
CiteSeer,0.2,8,d,30,-0.6070000529289246
CiteSeer,0.2,8,d,50,-0.44700004160404205
