dataset,noise_rate,seed,p_grd,dexp,gain
CiteSeer,0.1,3,0.0,8,0.020000040531158447
CiteSeer,0.1,3,0.0,9,0.026000022888183594
CiteSeer,0.1,3,0.0,10,0.016000032424926758
CiteSeer,0.1,3,0.1,0,0.016000032424926758
CiteSeer,0.1,3,0.1,1,0.0020000338554382324
CiteSeer,0.1,3,0.1,2,0.013999998569488525
CiteSeer,0.1,3,0.1,3,0.020000040531158447
CiteSeer,0.1,3,0.1,4,0.010000050067901611
CiteSeer,0.1,3,0.1,5,0.008000016212463379
CiteSeer,0.1,3,0.1,6,0.01900005340576172
CiteSeer,0.1,3,0.1,7,0.004999995231628418
CiteSeer,0.1,3,0.1,8,0.0040000081062316895
CiteSeer,0.1,3,0.1,9,0.004999995231628418
CiteSeer,0.1,3,0.1,10,-0.009000003337860107
CiteSeer,0.1,3,0.2,0,0.022000014781951904
CiteSeer,0.1,3,0.2,1,0.006000041961669922
CiteSeer,0.1,3,0.2,2,0.013999998569488525
CiteSeer,0.1,3,0.2,3,0.003000020980834961
CiteSeer,0.1,3,0.2,4,0.008000016212463379
CiteSeer,0.1,3,0.2,5,0.001000046730041504
CiteSeer,0.1,3,0.2,6,-0.012999951839447021
CiteSeer,0.1,3,0.2,7,0.0040000081062316895
CiteSeer,0.1,3,0.2,8,0.00700002908706665
CiteSeer,0.1,3,0.2,9,0.009000003337860107
CiteSeer,0.1,3,0.2,10,-0.004999995231628418
CiteSeer,0.1,3,0.3,0,0.021000027656555176
CiteSeer,0.1,3,0.3,1,-0.001999974250793457
CiteSeer,0.1,3,0.3,2,-0.003999948501586914
CiteSeer,0.1,3,0.3,3,0.004999995231628418
CiteSeer,0.1,3,0.3,4,-0.014999985694885254
CiteSeer,0.1,3,0.3,5,-0.0029999613761901855
CiteSeer,0.1,3,0.3,6,-0.003999948501586914
CiteSeer,0.1,3,0.3,7,-0.0029999613761901855
CiteSeer,0.1,3,0.3,8,-0.001999974250793457
CiteSeer,0.1,3,0.3,9,0.0040000081062316895
CiteSeer,0.1,3,0.3,10,0.0040000081062316895
CiteSeer,0.1,3,0.4,0,0.021000027656555176
CiteSeer,0.1,3,0.4,1,0.00700002908706665
CiteSeer,0.1,3,0.4,2,0.004999995231628418
CiteSeer,0.1,3,0.4,3,-0.004999995231628418
CiteSeer,0.1,3,0.4,4,-0.0029999613761901855
CiteSeer,0.1,3,0.4,5,0.0040000081062316895
CiteSeer,0.1,3,0.4,6,0.0040000081062316895
CiteSeer,0.1,3,0.4,7,0.0040000081062316895
CiteSeer,0.1,3,0.4,8,0.0040000081062316895
CiteSeer,0.1,3,0.4,9,0.0040000081062316895
CiteSeer,0.1,3,0.4,10,0.0040000081062316895
CiteSeer,0.1,3,0.5,0,0.010000050067901611
CiteSeer,0.1,3,0.5,1,-0.001999974250793457
CiteSeer,0.1,3,0.5,2,-0.0009999871253967285
CiteSeer,0.1,3,0.5,3,-0.0029999613761901855
CiteSeer,0.1,3,0.5,4,0.006000041961669922
CiteSeer,0.1,3,0.5,5,0.00700002908706665
CiteSeer,0.1,3,0.5,6,0.00700002908706665
CiteSeer,0.1,3,0.5,7,0.00700002908706665
CiteSeer,0.1,3,0.5,8,0.00700002908706665
CiteSeer,0.1,3,0.5,9,0.00700002908706665
CiteSeer,0.1,3,0.5,10,0.00700002908706665
CiteSeer,0.1,3,0.6,0,0.021000027656555176
CiteSeer,0.1,3,0.6,1,0.003000020980834961
CiteSeer,0.1,3,0.6,2,-0.004999995231628418
CiteSeer,0.1,3,0.6,3,-0.015999972820281982
CiteSeer,0.1,3,0.6,4,0.00700002908706665
CiteSeer,0.1,3,0.6,5,0.00700002908706665
CiteSeer,0.1,3,0.6,6,0.00700002908706665
CiteSeer,0.1,3,0.6,7,0.00700002908706665
CiteSeer,0.1,3,0.6,8,0.00700002908706665
CiteSeer,0.1,3,0.6,9,0.00700002908706665
CiteSeer,0.1,3,0.6,10,0.00700002908706665
CiteSeer,0.1,3,0.7,0,0.013000011444091797
CiteSeer,0.1,3,0.7,1,0.004999995231628418
CiteSeer,0.1,3,0.7,2,0.0040000081062316895
CiteSeer,0.1,3,0.7,3,0.00700002908706665
CiteSeer,0.1,3,0.7,4,0.00700002908706665
CiteSeer,0.1,3,0.7,5,0.00700002908706665
CiteSeer,0.1,3,0.7,6,0.00700002908706665
CiteSeer,0.1,3,0.7,7,0.00700002908706665
CiteSeer,0.1,3,0.7,8,0.00700002908706665
CiteSeer,0.1,3,0.7,9,0.00700002908706665
CiteSeer,0.1,3,0.7,10,0.00700002908706665
CiteSeer,0.1,3,0.8,0,0.016000032424926758
CiteSeer,0.1,3,0.8,1,-0.004999995231628418
CiteSeer,0.1,3,0.8,2,-0.015999972820281982
CiteSeer,0.1,3,0.8,3,0.00700002908706665
CiteSeer,0.1,3,0.8,4,0.00700002908706665
CiteSeer,0.1,3,0.8,5,0.00700002908706665
CiteSeer,0.1,3,0.8,6,0.00700002908706665
CiteSeer,0.1,3,0.8,7,0.00700002908706665
CiteSeer,0.1,3,0.8,8,0.00700002908706665
CiteSeer,0.1,3,0.8,9,0.00700002908706665
CiteSeer,0.1,3,0.8,10,0.00700002908706665
CiteSeer,0.1,3,0.9,0,0.01500004529953003
CiteSeer,0.1,3,0.9,1,-0.004999995231628418
CiteSeer,0.1,3,0.9,2,0.00700002908706665
CiteSeer,0.1,3,0.9,3,0.00700002908706665
CiteSeer,0.1,3,0.9,4,0.00700002908706665
CiteSeer,0.1,3,0.9,5,0.00700002908706665
CiteSeer,0.1,3,0.9,6,0.00700002908706665
CiteSeer,0.1,3,0.9,7,0.00700002908706665
CiteSeer,0.1,3,0.9,8,0.00700002908706665
CiteSeer,0.1,3,0.9,9,0.00700002908706665
CiteSeer,0.1,3,0.9,10,0.00700002908706665
CiteSeer,0.1,4,0.0,0,0.0559999942779541
CiteSeer,0.1,4,0.0,1,0.0009999871253967285
CiteSeer,0.1,4,0.0,2,0.050000011920928955
CiteSeer,0.1,4,0.0,3,0.054000020027160645
CiteSeer,0.1,4,0.0,4,0.03600001335144043
CiteSeer,0.1,4,0.0,5,0.042999982833862305
CiteSeer,0.1,4,0.0,6,0.02799999713897705
CiteSeer,0.1,4,0.0,7,0.02899998426437378
CiteSeer,0.1,4,0.0,8,0.004999995231628418
CiteSeer,0.1,4,0.0,9,0.058000028133392334
CiteSeer,0.1,4,0.0,10,0.03900003433227539
CiteSeer,0.1,4,0.1,0,0.030000030994415283
CiteSeer,0.1,4,0.1,1,0.05500000715255737
CiteSeer,0.1,4,0.1,2,0.03700000047683716
CiteSeer,0.1,4,0.1,3,0.03100001811981201
CiteSeer,0.1,4,0.1,4,0.018999993801116943
CiteSeer,0.1,4,0.1,5,0.004999995231628418
CiteSeer,0.1,4,0.1,6,0.027000010013580322
CiteSeer,0.1,4,0.1,7,0.016000032424926758
CiteSeer,0.1,4,0.1,8,0.04400002956390381
CiteSeer,0.1,4,0.1,9,0.022000014781951904
CiteSeer,0.1,4,0.1,10,0.022000014781951904
CiteSeer,0.1,4,0.2,0,0.013999998569488525
CiteSeer,0.1,4,0.2,1,0.022000014781951904
CiteSeer,0.1,4,0.2,2,0.012000024318695068
CiteSeer,0.1,4,0.2,3,0.009000003337860107
CiteSeer,0.1,4,0.2,4,0.003000020980834961
CiteSeer,0.1,4,0.2,5,0.009999990463256836
CiteSeer,0.1,4,0.2,6,0.016000032424926758
CiteSeer,0.1,4,0.2,7,0.003000020980834961
CiteSeer,0.1,4,0.2,8,0.0040000081062316895
CiteSeer,0.1,4,0.2,9,0.003000020980834961
CiteSeer,0.1,4,0.2,10,0.021000027656555176
CiteSeer,0.1,4,0.3,0,0.0350000262260437
CiteSeer,0.1,4,0.3,1,0.022000014781951904
CiteSeer,0.1,4,0.3,2,0.01100003719329834
CiteSeer,0.1,4,0.3,3,-0.0009999871253967285
CiteSeer,0.1,4,0.3,4,0.003000020980834961
CiteSeer,0.1,4,0.3,5,0.0040000081062316895
CiteSeer,0.1,4,0.3,6,0.0040000081062316895
CiteSeer,0.1,4,0.3,7,0.0040000081062316895
CiteSeer,0.1,4,0.3,8,0.012000024318695068
CiteSeer,0.1,4,0.3,9,0.012000024318695068
CiteSeer,0.1,4,0.3,10,0.012000024318695068
CiteSeer,0.1,4,0.4,0,0.022000014781951904
CiteSeer,0.1,4,0.4,1,0.0059999823570251465
CiteSeer,0.1,4,0.4,2,-0.003000020980834961
CiteSeer,0.1,4,0.4,3,0.0040000081062316895
CiteSeer,0.1,4,0.4,4,0.0040000081062316895
CiteSeer,0.1,4,0.4,5,0.012000024318695068
